"trial_type","trial_index","time_elapsed","internal_node_id","Script_Picker","rt","url","responses","question_order","stimulus","key_press"
"pavlovia","0","2","0.0-0.0","1","","","","","",""
"external-html","1","5683","0.0-1.0-0.0","1","5669.845000025816","consent.html","","","",""
"survey-multi-choice","2","10903","0.0-1.0-1.0","1","5217.369999969378","","{""Q0"":""Female"",""Q1"":""White""}","[0,1]","",""
"survey-text","3","14676","0.0-1.0-2.0","1","3767.595000041183","","{""Q0"":""37""}","","",""
"survey-text","4","17904","0.0-1.0-3.0","1","3119.4150000228547","","{""Q0"":""5e177578fd7db4082cf06d91""}","","",""
"html-keyboard-response","5","19310","0.0-2.0-0.0","1","1298.6750000272878","","","","<div class=""container"" style=""height:800px;width:800px;display:flex;flex-direction:column;justify-content:center;align-items:center;text-align:center;font-weight:normal;font-family:Arial;font-size:20px""><p>In this task you will see black or white beads being pulled from jars. <br><br>On each trial, a bead will be pulled from one of two jars. Once you see this bead, your goal is to predict the color of NEXT bead that will be pulled. <br> <br>Every time you correctly guess the color of the NEXT bead, you will get a point. The more points you get, the higher your win bonus at the end of the experiment <br><br>Press the SPACEBAR to continue.</p><div>","32"
"html-keyboard-response","6","20831","0.0-2.0-1.0","1","1520.4549999907613","","","","<div class=""container"" style=""height:800px;width:800px;display:flex;flex-direction:column;justify-content:center;align-items:center;text-align:center;font-weight:normal;font-family:Arial;font-size:20px""><p>There are two types of jars:<br><br>1) Jars filled with ONLY white or black beads<br><br>2) Jars filled with 90% white or black beads and 10% of the opposite color mixed in<br><br>Press the SPACEBAR to continue. </p><div>","32"
"image-keyboard-response","7","22263","0.0-2.0-2.0","1","1430.3649999783374","","","","resources/WhiteJar_MM.png","32"
"image-keyboard-response","8","26885","0.0-2.0-3.0","1","4620.21999998251","","","","resources/BlackJar_MM.png","32"
"image-keyboard-response","9","29234","0.0-2.0-4.0","1","2347.559999965597","","","","resources/WhiteJar_HMM.png","32"
"image-keyboard-response","10","30257","0.0-2.0-5.0","1","1021.5199999511242","","","","resources/BlackJar_HMM.png","32"
