"trial_type","trial_index","time_elapsed","internal_node_id","Script_Picker","Block_Type","rt","url","responses","question_order","stimulus","key_press"
"pavlovia","0","8","0.0-0.0","17","Low_HMMActual","","","","","",""
"external-html","1","2863","0.0-1.0-0.0","17","Low_HMMActual","2734.1100000194274","consent.html","","","",""
"survey-multi-choice","2","6880","0.0-1.0-1.0","17","Low_HMMActual","4013.589999987744","","{""Q0"":""Female"",""Q1"":""White""}","[0,1]","",""
"survey-text","3","10543","0.0-1.0-2.0","17","Low_HMMActual","3651.339999982156","","{""Q0"":""39""}","","",""
"survey-text","4","18386","0.0-1.0-3.0","17","Low_HMMActual","7733.40000002645","","{""Q0"":""5e351fbb5aa7004e016178f4""}","","",""
"html-keyboard-response","5","25869","0.0-2.0-0.0","17","Low_HMMActual","7377.195000008214","","","","<div class=""container"" style=""height:800px;width:800px;display:flex;flex-direction:column;justify-content:center;align-items:center;text-align:center;font-weight:normal;font-family:Arial;font-size:20px""><p>In this task you will see black or white beads being pulled from jars. <br><br>On each trial, a bead will be pulled from one of two jars. Once you see this bead, your goal is to predict the color of NEXT bead that will be pulled. <br> <br>Every time you correctly guess the color of the NEXT bead, you will get a point. <br><br>Press the SPACEBAR to continue.</p><div>","32"
"html-keyboard-response","6","31060","0.0-2.0-1.0","17","Low_HMMActual","5189.854999945965","","","","<div class=""container"" style=""height:800px;width:800px;display:flex;flex-direction:column;justify-content:center;align-items:center;text-align:center;font-weight:normal;font-family:Arial;font-size:20px""><p>Jars are filled with 85% white or black beads and 15% of the opposite color mixed in<br><br>Press the SPACEBAR to continue. </p><div>","32"
"image-keyboard-response","7","40860","0.0-2.0-2.0","17","Low_HMMActual","9796.964999986812","","","","resources/WhiteJar_HMM.png","32"
"image-keyboard-response","8","43622","0.0-2.0-3.0","17","Low_HMMActual","2759.230000025127","","","","resources/BlackJar_HMM.png","32"
"html-keyboard-response","9","46451","0.0-2.0-4.0","17","Low_HMMActual","2828.240000002552","","","","<div class=""container"" style=""height:800px;width:800px;display:flex;flex-direction:column;justify-content:center;align-items:center;text-align:center;font-weight:normal;font-family:Arial;font-size:20px""><p>There will be two blocks of trials. Each block will contain 500 trials. <br><br>Here are examples of what you will see on each trial.<br><br>Press the SPACEBAR to continue. </p><div>","32"
"image-keyboard-response","10","49802","0.0-2.0-5.0","17","Low_HMMActual","3349.3149999994785","","","","Images/NoChoice.png","32"
"html-keyboard-response","11","56457","0.0-2.0-6.0","17","Low_HMMActual","6653.905000013765","","","","<div class=""container"" style=""height:800px;width:800px;display:flex;flex-direction:column;justify-content:center;align-items:center;text-align:center;font-weight:normal;font-family:Arial;font-size:20px""><p> The jar the beads are pulled from is NOT choosen at random on each trial.<br><br>After each prediction, there will be a chance that the jars will switch, and that the next bead will be pulled from the opposite jar as the previous trial.<br><br>In each block, the chance that a jar will switch will either be LOW (the jars will not switch very often), or HIGH (the jars will switch almost all the time).<br><br>At the start of each block, you will be told the probability that the jars will switch on each trial. This switch probability will stay constant throughout the block.<br><br>Press the SPACEBAR to continue. </p><div>","32"
"image-keyboard-response","12","58606","0.0-2.0-7.0","17","Low_HMMActual","2148.0099999462254","","","","Images/TutorialWhiteJarDrawHMMC.png","32"
"image-keyboard-response","13","62505","0.0-2.0-8.0","17","Low_HMMActual","3898.079999955371","","","","Images/TutorialBlackJarDrawHMMC.png","32"
"image-keyboard-response","14","70866","0.0-2.0-9.0","17","Low_HMMActual","8359.140000015032","","","","Images/TutorialBlackJarDrawHMMI.png","32"
"html-keyboard-response","15","78435","0.0-2.0-10.0","17","Low_HMMActual","7567.665000038687","","","","<div class=""container"" style=""height:800px;width:800px;display:flex;flex-direction:column;justify-content:center;align-items:center;text-align:center;font-weight:normal;font-family:Arial;font-size:20px""><p> As you observed, a white bead was pulled from a 85% white jar, the jars switched and a black bead was pulled from the 85% black jar, but then low-probability white bead was pulled from the 90% black jar. <br><br>In these mixed-jar blocks, you will first have to figure out which jar the current bead was pulled from, then use the jar switch probability to predict the color of the next bead.<br><br>Press SPACEBAR to conitnue.</p><div>","32"
"html-keyboard-response","16","80854","0.0-2.0-11.0","17","Low_HMMActual","2418.530000024475","","","","<div class=""container"" style=""height:800px;width:800px;display:flex;flex-direction:column;justify-content:center;align-items:center;text-align:center;font-weight:normal;font-family:Arial;font-size:20px""><p> You will now be given a 2 question quiz to make sure you understand the fundamentals. </p><div>","32"
"image-keyboard-response","17","93167","0.0-2.0-12.0","17","Low_HMMActual","12311.054999998305","","","","Images/TutorialQuestion1.png","39"
"image-keyboard-response","18","98617","0.0-2.0-13.0","17","Low_HMMActual","3352.264999994077","","","","Images/TutorialQuestion2.png","38"
