"trial_type","trial_index","time_elapsed","internal_node_id","Script_Picker","rt","url","responses","question_order","stimulus","key_press"
"pavlovia","0","3","0.0-0.0","17","","","","","",""
"external-html","1","14971","0.0-1.0-0.0","17","14884.084999997867","consent.html","","","",""
"survey-multi-choice","2","29921","0.0-1.0-1.0","17","14947.730000014417","","{""Q0"":""Female"",""Q1"":""White""}","[0,1]","",""
"survey-text","3","33029","0.0-1.0-2.0","17","3102.7800000156276","","{""Q0"":""22""}","","",""
"survey-text","4","40683","0.0-1.0-3.0","17","7547.770000004675","","{""Q0"":""5d2cd30f4d046f0016a74f85""}","","",""
"html-keyboard-response","5","136637","0.0-2.0-0.0","17","95845.08999998798","","","","<div class=""container"" style=""height:800px;width:800px;display:flex;flex-direction:column;justify-content:center;align-items:center;text-align:center;font-weight:normal;font-family:Arial;font-size:20px""><p>In this task you will see black or white beads being pulled from jars. <br><br>On each trial, a bead will be pulled from one of two jars. Once you see this bead, your goal is to predict the color of NEXT bead that will be pulled. <br> <br>Every time you correctly guess the color of the NEXT bead, you will get a point. The more points you get, the higher your win bonus at the end of the experiment <br><br>Press the SPACEBAR to continue.</p><div>","32"
"html-keyboard-response","6","144559","0.0-2.0-1.0","17","7920.920000004116","","","","<div class=""container"" style=""height:800px;width:800px;display:flex;flex-direction:column;justify-content:center;align-items:center;text-align:center;font-weight:normal;font-family:Arial;font-size:20px""><p>There are two types of jars:<br><br>1) Jars filled with ONLY white or black beads<br><br>2) Jars filled with 90% white or black beads and 10% of the opposite color mixed in<br><br>Press the SPACEBAR to continue. </p><div>","32"
"image-keyboard-response","7","149140","0.0-2.0-2.0","17","4579.005000006873","","","","resources/WhiteJar_MM.png","32"
"image-keyboard-response","8","149911","0.0-2.0-3.0","17","769.4250000058673","","","","resources/BlackJar_MM.png","32"
"image-keyboard-response","9","164005","0.0-2.0-4.0","17","14091.97999999742","","","","resources/WhiteJar_HMM.png","32"
"image-keyboard-response","10","167343","0.0-2.0-5.0","17","3337.230000004638","","","","resources/BlackJar_HMM.png","32"
"html-keyboard-response","11","194785","0.0-2.0-6.0","17","27439.769999997225","","","","<div class=""container"" style=""height:800px;width:800px;display:flex;flex-direction:column;justify-content:center;align-items:center;text-align:center;font-weight:normal;font-family:Arial;font-size:20px""><p>There will be four blocks of trials. In each block, you will see the pair of jars that beads will be pulled from.<br><br>The pair of jars used in each block will ONLY ever be 100% white and black jars, or 90/10 mixed jars. <br><br>The pair of jars in each block will not change until the next block.<br><br>Here are examples of what you will see on each trial.<br><br>Press the SPACEBAR to continue. </p><div>","32"
"image-keyboard-response","12","197791","0.0-2.0-7.0","17","3004.7150000173133","","","","Images/NoChoiceMM.png","32"
"image-keyboard-response","13","199815","0.0-2.0-8.0","17","2023.6849999928381","","","","Images/NoChoice.png","32"
