"trial_type","trial_index","time_elapsed","internal_node_id","Script_Picker","Block_Type","rt","url","responses","question_order","stimulus","key_press"
"pavlovia","0","2","0.0-0.0","11","Low_HMMActual","","","","","",""
"external-html","1","43479","0.0-1.0-0.0","11","Low_HMMActual","43423.019999987446","consent.html","","","",""
"survey-multi-choice","2","49643","0.0-1.0-1.0","11","Low_HMMActual","6161.389999993844","","{""Q0"":""Male"",""Q1"":""White""}","[0,1]","",""
"survey-text","3","52070","0.0-1.0-2.0","11","Low_HMMActual","2423.6699999892153","","{""Q0"":""22""}","","",""
"survey-text","4","56881","0.0-1.0-3.0","11","Low_HMMActual","4708.364999998594","","{""Q0"":""5ec7ff70dab57428fee5d0a2""}","","",""
"html-keyboard-response","5","93236","0.0-2.0-0.0","11","Low_HMMActual","36253.05999998818","","","","<div class=""container"" style=""height:800px;width:800px;display:flex;flex-direction:column;justify-content:center;align-items:center;text-align:center;font-weight:normal;font-family:Arial;font-size:20px""><p>In this task you will see black or white beads being pulled from jars. <br><br>On each trial, a bead will be pulled from one of two jars. Once you see this bead, your goal is to predict the color of NEXT bead that will be pulled. <br> <br>Every time you correctly guess the color of the NEXT bead, you will get a point. <br><br>Press the SPACEBAR to continue.</p><div>","32"
"html-keyboard-response","6","99755","0.0-2.0-1.0","11","Low_HMMActual","6517.999999981839","","","","<div class=""container"" style=""height:800px;width:800px;display:flex;flex-direction:column;justify-content:center;align-items:center;text-align:center;font-weight:normal;font-family:Arial;font-size:20px""><p>Jars are filled with 80% white or black beads and 20% of the opposite color mixed in.<br><br>Press the SPACEBAR to continue. </p><div>","32"
"image-keyboard-response","7","107955","0.0-2.0-2.0","11","Low_HMMActual","8198.679999972228","","","","resources/WhiteJar_HMM.png","32"
"image-keyboard-response","8","108645","0.0-2.0-3.0","11","Low_HMMActual","689.0600000042468","","","","resources/BlackJar_HMM.png","32"
"html-keyboard-response","9","114316","0.0-2.0-4.0","11","Low_HMMActual","5670.955000008689","","","","<div class=""container"" style=""height:800px;width:800px;display:flex;flex-direction:column;justify-content:center;align-items:center;text-align:center;font-weight:normal;font-family:Arial;font-size:20px""><p>There will be two blocks of trials. Each block will contain 500 trials. <br><br>Here are examples of what you will see on each trial.<br><br>Press the SPACEBAR to continue. </p><div>","32"
"image-keyboard-response","10","120726","0.0-2.0-5.0","11","Low_HMMActual","6408.46999999485","","","","Images/NoChoice.png","32"
"html-keyboard-response","11","231327","0.0-2.0-6.0","11","Low_HMMActual","110601.23000000021","","","","<div class=""container"" style=""height:800px;width:800px;display:flex;flex-direction:column;justify-content:center;align-items:center;text-align:center;font-weight:normal;font-family:Arial;font-size:20px""><p> The jar the beads are pulled from is NOT choosen at random on each trial.<br><br>After each prediction, there will be a chance that the jars will switch, and that the next bead will be pulled from the opposite jar as the previous trial.<br><br>In each block, the chance that a jar will switch will either be LOW (the jars will not switch very often), or HIGH (the jars will switch almost all the time).<br><br>At the start of each block, you will be told the probability that the jars will switch on each trial. This switch probability will stay constant throughout the block.<br><br>We will now show you some examples of beads being drawn from jars. The bead will appear in the middle of the screen, and the jar the bead was pulled from will be indicated with a black rectangle.<br><br>Press the SPACEBAR to continue. </p><div>","32"
"image-keyboard-response","12","236337","0.0-2.0-7.0","11","Low_HMMActual","5008.695000025909","","","","Images/TutorialWhiteJarDrawHMMC.png","32"
"image-keyboard-response","13","243017","0.0-2.0-8.0","11","Low_HMMActual","6679.280000011204","","","","Images/TutorialBlackJarDrawHMMC.png","32"
"image-keyboard-response","14","246218","0.0-2.0-9.0","11","Low_HMMActual","3200.4350000061095","","","","Images/TutorialBlackJarDrawHMMI.png","32"
"html-keyboard-response","15","336770","0.0-2.0-10.0","11","Low_HMMActual","90551.04500000016","","","","<div class=""container"" style=""height:800px;width:800px;display:flex;flex-direction:column;justify-content:center;align-items:center;text-align:center;font-weight:normal;font-family:Arial;font-size:20px""><p> As you observed, a white bead was pulled from a 80% white jar, the jars switched and a black bead was pulled from the 80% black jar, but then a low-probability white bead was pulled from the 80% black jar. <br><br>Because the jars have a mix of white and black beads, the best strategy to predict the next bead is to first figure out which jar the current bead was pulled from, then use the jar switch probability to predict which jar will be drawn from next.<br><br>Press SPACEBAR to conitnue.</p><div>","32"
"html-keyboard-response","16","339339","0.0-2.0-11.0","11","Low_HMMActual","2569.160000013653","","","","<div class=""container"" style=""height:800px;width:800px;display:flex;flex-direction:column;justify-content:center;align-items:center;text-align:center;font-weight:normal;font-family:Arial;font-size:20px""><p> You will now be given a 2 question quiz to make sure you understand the task. </p><div>","32"
"image-keyboard-response","17","347010","0.0-2.0-12.0","11","Low_HMMActual","7669.4100000022445","","","","Images/TutorialQuestion1.png","39"
"image-keyboard-response","18","354759","0.0-2.0-13.0","11","Low_HMMActual","5837.52000000095","","","","Images/TutorialQuestion2.png","38"
"html-keyboard-response","19","388641","0.0-3.0","11","Low_HMMActual","32066.354999988107","","","","<div class=""container"" style=""height:800px;width:800px;display:flex;flex-direction:column;justify-content:center;align-items:center;text-align:center;font-weight:normal;font-family:Arial;font-size:20px""><p>Loading episode&hellip;</p><div>","32"
"image-keyboard-response","20","390810","0.0-4.0-0.0","11","Low_HMMActual","2167.730000015581","","","","Images/NoChoice.png","37"
"image-keyboard-response","21","391212","0.0-4.0-1.0","11","Low_HMMActual","null","","","","Images/BlackBeadChoice.png","null"
