"trial_type","trial_index","time_elapsed","internal_node_id","Script_Picker","rt","url","responses","question_order","stimulus","key_press"
"pavlovia","0","6","0.0-0.0","9","","","","","",""
"external-html","1","9715","0.0-1.0-0.0","9","9657.104999991134","consent.html","","","",""
"survey-multi-choice","2","16538","0.0-1.0-1.0","9","6820.9799999604","","{""Q0"":""Female"",""Q1"":""White""}","[0,1]","",""
"survey-text","3","19359","0.0-1.0-2.0","9","2817.4899999867193","","{""Q0"":""20""}","","",""
"survey-text","4","27321","0.0-1.0-3.0","9","7851.50499996962","","{""Q0"":""5cf10bfe8d4d660001edc5b4""}","","",""
"html-keyboard-response","5","44913","0.0-2.0-0.0","9","17483.339999977034","","","","<div class=""container"" style=""height:800px;width:800px;display:flex;flex-direction:column;justify-content:center;align-items:center;text-align:center;font-weight:normal;font-family:Arial;font-size:20px""><p>In this task you will see black or white beads being pulled from jars. <br><br>On each trial, a bead will be pulled from one of two jars. Once you see this bead, your goal is to predict the color of NEXT bead that will be pulled. <br> <br>Every time you correctly guess the color of the NEXT bead, you will get a point. The more points you get, the higher your win bonus at the end of the experiment <br><br>Press the SPACEBAR to continue.</p><div>","32"
"html-keyboard-response","6","55630","0.0-2.0-1.0","9","10714.730000006966","","","","<div class=""container"" style=""height:800px;width:800px;display:flex;flex-direction:column;justify-content:center;align-items:center;text-align:center;font-weight:normal;font-family:Arial;font-size:20px""><p>There are two types of jars:<br><br>1) Jars filled with ONLY white or black beads<br><br>2) Jars filled with 90% white or black beads and 10% of the opposite color mixed in<br><br>Press the SPACEBAR to continue. </p><div>","32"
"image-keyboard-response","7","57846","0.0-2.0-2.0","9","2213.095000013709","","","","resources/WhiteJar_MM.png","32"
"image-keyboard-response","8","59031","0.0-2.0-3.0","9","1182.184999983292","","","","resources/BlackJar_MM.png","32"
"image-keyboard-response","9","61133","0.0-2.0-4.0","9","2099.305000039749","","","","resources/WhiteJar_HMM.png","32"
"image-keyboard-response","10","62378","0.0-2.0-5.0","9","1243.694999953732","","","","resources/BlackJar_HMM.png","32"
"html-keyboard-response","11","74774","0.0-2.0-6.0","9","12394.13000002969","","","","<div class=""container"" style=""height:800px;width:800px;display:flex;flex-direction:column;justify-content:center;align-items:center;text-align:center;font-weight:normal;font-family:Arial;font-size:20px""><p>There will be four blocks of trials. In each block, you will see the pair of jars that beads will be pulled from.<br><br>The pair of jars used in each block will ONLY ever be 100% white and black jars, or 90/10 mixed jars. <br><br>The pair of jars in each block will not change until the next block.<br><br>Here are examples of what you will see on each trial.<br><br>Press the SPACEBAR to continue. </p><div>","32"
"image-keyboard-response","12","79009","0.0-2.0-7.0","9","4232.714999991003","","","","Images/NoChoiceMM.png","32"
"image-keyboard-response","13","81201","0.0-2.0-8.0","9","2190.530000021681","","","","Images/NoChoice.png","32"
"html-keyboard-response","14","98251","0.0-2.0-9.0","9","17047.53999999957","","","","<div class=""container"" style=""height:800px;width:800px;display:flex;flex-direction:column;justify-content:center;align-items:center;text-align:center;font-weight:normal;font-family:Arial;font-size:20px""><p> The jar the beads are pulled from is NOT choosen at random on each trial.<br><br>After each prediction, there will be a chance that the jars will switch, and that the next bead will be pulled from the opposite jar as the previous trial.<br><br>In each block, the chance that a jar will switch will either be LOW (the jars will not switch very often), or HIGH (the jars will switch almost all the time).<br><br>At the start of each block, you will be told the probability that the jars will switch on each trial. This switch probability will stay constant throughout the block.<br><br>Press the SPACEBAR to continue. </p><div>","32"
"image-keyboard-response","15","105034","0.0-2.0-10.0","9","6780.960000003688","","","","Images/TutorialBlackJarDrawMM.png","32"
"image-keyboard-response","16","108243","0.0-2.0-11.0","9","3207.1650000289083","","","","Images/TutorialWhiteJarDrawMM.png","32"
