"trial_type","trial_index","time_elapsed","internal_node_id","Script_Picker","Block_Type","rt","url","responses","question_order","stimulus","key_press"
"pavlovia","0","6","0.0-0.0","10","Low_HMMActual","","","","","",""
"external-html","1","11867","0.0-1.0-0.0","10","Low_HMMActual","11794.46999999891","consent.html","","","",""
"survey-multi-choice","2","22068","0.0-1.0-1.0","10","Low_HMMActual","10195.284999999785","","{""Q0"":""Male"",""Q1"":""Do Not Wish to Respond""}","[0,1]","",""
"survey-text","3","27502","0.0-1.0-2.0","10","Low_HMMActual","5428.285000001779","","{""Q0"":""27""}","","",""
"survey-text","4","30975","0.0-1.0-3.0","10","Low_HMMActual","3351.7749999991793","","{""Q0"":""5b222aff59f9620001c109cb""}","","",""
"html-keyboard-response","5","86245","0.0-2.0-0.0","10","Low_HMMActual","55163.10499999963","","","","<div class=""container"" style=""height:800px;width:800px;display:flex;flex-direction:column;justify-content:center;align-items:center;text-align:center;font-weight:normal;font-family:Arial;font-size:20px""><p>In this task you will see black or white beads being pulled from jars. <br><br>On each trial, a bead will be pulled from one of two jars. Once you see this bead, your goal is to predict the color of NEXT bead that will be pulled. <br> <br>Every time you correctly guess the color of the NEXT bead, you will get a point. <br><br>Press the SPACEBAR to continue.</p><div>","32"
"html-keyboard-response","6","233377","0.0-2.0-1.0","10","Low_HMMActual","147129.57500000083","","","","<div class=""container"" style=""height:800px;width:800px;display:flex;flex-direction:column;justify-content:center;align-items:center;text-align:center;font-weight:normal;font-family:Arial;font-size:20px""><p>Jars are filled with 80% white or black beads and 20% of the opposite color mixed in.<br><br>Press the SPACEBAR to continue. </p><div>","32"
"image-keyboard-response","7","254252","0.0-2.0-2.0","10","Low_HMMActual","20868.60499999969","","","","resources/WhiteJar_HMM.png","32"
"image-keyboard-response","8","256523","0.0-2.0-3.0","10","Low_HMMActual","2269.1599999997998","","","","resources/BlackJar_HMM.png","32"
"html-keyboard-response","9","263613","0.0-2.0-4.0","10","Low_HMMActual","7088.229999999341","","","","<div class=""container"" style=""height:800px;width:800px;display:flex;flex-direction:column;justify-content:center;align-items:center;text-align:center;font-weight:normal;font-family:Arial;font-size:20px""><p>There will be two blocks of trials. Each block will contain 500 trials. <br><br>Here are examples of what you will see on each trial.<br><br>Press the SPACEBAR to continue. </p><div>","32"
"image-keyboard-response","10","270733","0.0-2.0-5.0","10","Low_HMMActual","7117.275000000489","","","","Images/NoChoice.png","32"
"html-keyboard-response","11","312960","0.0-2.0-6.0","10","Low_HMMActual","42224.335000000836","","","","<div class=""container"" style=""height:800px;width:800px;display:flex;flex-direction:column;justify-content:center;align-items:center;text-align:center;font-weight:normal;font-family:Arial;font-size:20px""><p> The jar the beads are pulled from is NOT choosen at random on each trial.<br><br>After each prediction, there will be a chance that the jars will switch, and that the next bead will be pulled from the opposite jar as the previous trial.<br><br>In each block, the chance that a jar will switch will either be LOW (the jars will not switch very often), or HIGH (the jars will switch almost all the time).<br><br>At the start of each block, you will be told the probability that the jars will switch on each trial. This switch probability will stay constant throughout the block.<br><br>We will now show you some examples of beads being drawn from jars. The bead will appear in the middle of the screen, and the jar the bead was pulled from will be indicated with a black rectangle.<br><br>Press the SPACEBAR to continue. </p><div>","32"
"image-keyboard-response","12","319809","0.0-2.0-7.0","10","Low_HMMActual","6847.934999999823","","","","Images/TutorialWhiteJarDrawHMMC.png","32"
"image-keyboard-response","13","322037","0.0-2.0-8.0","10","Low_HMMActual","2226.625000001164","","","","Images/TutorialBlackJarDrawHMMC.png","32"
"image-keyboard-response","14","325186","0.0-2.0-9.0","10","Low_HMMActual","3146.804999998538","","","","Images/TutorialBlackJarDrawHMMI.png","32"
"html-keyboard-response","15","338736","0.0-2.0-10.0","10","Low_HMMActual","13547.325000001409","","","","<div class=""container"" style=""height:800px;width:800px;display:flex;flex-direction:column;justify-content:center;align-items:center;text-align:center;font-weight:normal;font-family:Arial;font-size:20px""><p> As you observed, a white bead was pulled from a 80% white jar, the jars switched and a black bead was pulled from the 80% black jar, but then a low-probability white bead was pulled from the 80% black jar. <br><br>This means that the color of the bead will not always match to the color of the jar it was pulled from.<br><br>Press SPACEBAR to conitnue.</p><div>","32"
